one,timestamp,b2,c1,c2,d1,d2,e1,heatmap
1,2018-06-21T08:00:00Z,54,342,483,432,350,55,heatmaps/heat2018-06-21T08:00:00Z.jpg
1,2018-06-21T08:01:00Z,32,252,584,370,260,128,heatmaps/heat2018-06-21T08:01:00Z.jpg
1,2018-06-21T08:02:00Z,48,273,710,398,400,157,heatmaps/heat2018-06-21T08:02:00Z.jpg
1,2018-06-21T08:03:00Z,132,289,826,422,360,132,heatmaps/heat2018-06-21T08:03:00Z.jpg
1,2018-06-21T08:04:00Z,46,113,524,336,431,92,heatmaps/heat2018-06-21T08:04:00Z.jpg
1,2018-06-21T08:05:00Z,9,114,499,335,354,212,heatmaps/heat2018-06-21T08:05:00Z.jpg
1,2018-06-21T08:06:00Z,39,150,488,628,388,230,heatmaps/heat2018-06-21T08:06:00Z.jpg
1,2018-06-21T08:07:00Z,47,251,258,520,497,265,heatmaps/heat2018-06-21T08:07:00Z.jpg
1,2018-06-21T08:08:00Z,22,150,408,520,434,256,heatmaps/heat2018-06-21T08:08:00Z.jpg
1,2018-06-21T08:09:00Z,17,351,311,493,488,164,heatmaps/heat2018-06-21T08:09:00Z.jpg
1,2018-06-21T08:10:00Z,127,321,255,273,429,27,heatmaps/heat2018-06-21T08:10:00Z.jpg
1,2018-06-21T08:11:00Z,2,34,197,217,108,61,heatmaps/heat2018-06-21T08:11:00Z.jpg
1,2018-06-21T08:12:00Z,25,26,198,306,107,26,heatmaps/heat2018-06-21T08:12:00Z.jpg
1,2018-06-21T08:13:00Z,128,240,400,425,182,56,heatmaps/heat2018-06-21T08:13:00Z.jpg
1,2018-06-21T08:14:00Z,144,354,440,541,251,56,heatmaps/heat2018-06-21T08:14:00Z.jpg
1,2018-06-21T08:15:00Z,125,324,695,539,227,80,heatmaps/heat2018-06-21T08:15:00Z.jpg
1,2018-06-21T08:16:00Z,75,313,688,559,220,124,heatmaps/heat2018-06-21T08:16:00Z.jpg
1,2018-06-21T08:17:00Z,69,314,667,582,183,122,heatmaps/heat2018-06-21T08:17:00Z.jpg
1,2018-06-21T08:18:00Z,141,597,643,453,216,102,heatmaps/heat2018-06-21T08:18:00Z.jpg
1,2018-06-21T08:19:00Z,24,443,38,170,74,28,heatmaps/heat2018-06-21T08:19:00Z.jpg
1,2018-06-21T08:20:00Z,329,43,174,89,44,0,heatmaps/heat2018-06-21T08:20:00Z.jpg
1,2018-06-21T08:21:00Z,25,233,83,53,107,31,heatmaps/heat2018-06-21T08:21:00Z.jpg
1,2018-06-21T08:22:00Z,15,217,59,75,123,10,heatmaps/heat2018-06-21T08:22:00Z.jpg
1,2018-06-21T08:23:00Z,4,291,156,96,57,26,heatmaps/heat2018-06-21T08:23:00Z.jpg
1,2018-06-21T08:24:00Z,106,247,177,74,156,27,heatmaps/heat2018-06-21T08:24:00Z.jpg
1,2018-06-21T08:25:00Z,90,303,72,73,211,14,heatmaps/heat2018-06-21T08:25:00Z.jpg
1,2018-06-21T08:26:00Z,78,148,15,20,38,7,heatmaps/heat2018-06-21T08:26:00Z.jpg
1,2018-06-21T08:27:00Z,79,226,101,72,157,19,heatmaps/heat2018-06-21T08:27:00Z.jpg
1,2018-06-21T08:28:00Z,73,85,100,102,108,31,heatmaps/heat2018-06-21T08:28:00Z.jpg
1,2018-06-21T08:29:00Z,26,71,188,168,89,66,heatmaps/heat2018-06-21T08:29:00Z.jpg
1,2018-06-21T08:30:00Z,6,234,210,231,160,90,heatmaps/heat2018-06-21T08:30:00Z.jpg
1,2018-06-21T08:31:00Z,3,210,263,327,193,192,heatmaps/heat2018-06-21T08:31:00Z.jpg
1,2018-06-21T08:32:00Z,122,61,97,208,122,244,heatmaps/heat2018-06-21T08:32:00Z.jpg
1,2018-06-21T08:33:00Z,18,230,302,385,505,121,heatmaps/heat2018-06-21T08:33:00Z.jpg
1,2018-06-21T08:34:00Z,80,401,324,382,309,105,heatmaps/heat2018-06-21T08:34:00Z.jpg
1,2018-06-21T08:35:00Z,17,161,133,87,310,129,heatmaps/heat2018-06-21T08:35:00Z.jpg
1,2018-06-21T08:36:00Z,77,114,178,123,288,135,heatmaps/heat2018-06-21T08:36:00Z.jpg
1,2018-06-21T08:37:00Z,105,349,327,244,386,110,heatmaps/heat2018-06-21T08:37:00Z.jpg
1,2018-06-21T08:38:00Z,65,393,348,232,355,93,heatmaps/heat2018-06-21T08:38:00Z.jpg
1,2018-06-21T08:39:00Z,41,445,255,206,308,138,heatmaps/heat2018-06-21T08:39:00Z.jpg
1,2018-06-21T08:40:00Z,24,252,143,162,252,106,heatmaps/heat2018-06-21T08:40:00Z.jpg
1,2018-06-21T08:41:00Z,25,343,166,155,296,61,heatmaps/heat2018-06-21T08:41:00Z.jpg
1,2018-06-21T08:42:00Z,6,176,93,135,270,79,heatmaps/heat2018-06-21T08:42:00Z.jpg
1,2018-06-21T08:43:00Z,21,174,162,358,412,67,heatmaps/heat2018-06-21T08:43:00Z.jpg
1,2018-06-21T08:44:00Z,115,130,168,464,476,83,heatmaps/heat2018-06-21T08:44:00Z.jpg
1,2018-06-21T08:45:00Z,61,228,248,421,501,59,heatmaps/heat2018-06-21T08:45:00Z.jpg
1,2018-06-21T08:46:00Z,36,192,272,420,423,74,heatmaps/heat2018-06-21T08:46:00Z.jpg
1,2018-06-21T08:47:00Z,87,196,330,459,424,193,heatmaps/heat2018-06-21T08:47:00Z.jpg
1,2018-06-21T08:48:00Z,72,280,367,395,423,112,heatmaps/heat2018-06-21T08:48:00Z.jpg
1,2018-06-21T08:49:00Z,129,368,286,310,490,78,heatmaps/heat2018-06-21T08:49:00Z.jpg
1,2018-06-21T08:50:00Z,67,220,306,247,266,100,heatmaps/heat2018-06-21T08:50:00Z.jpg
1,2018-06-21T08:51:00Z,84,166,338,220,230,33,heatmaps/heat2018-06-21T08:51:00Z.jpg
1,2018-06-21T08:52:00Z,33,71,81,199,123,45,heatmaps/heat2018-06-21T08:52:00Z.jpg
1,2018-06-21T08:53:00Z,28,154,204,95,117,181,heatmaps/heat2018-06-21T08:53:00Z.jpg
1,2018-06-21T08:54:00Z,84,169,295,177,329,39,heatmaps/heat2018-06-21T08:54:00Z.jpg
1,2018-06-21T08:55:00Z,70,178,168,69,280,45,heatmaps/heat2018-06-21T08:55:00Z.jpg
1,2018-06-21T08:56:00Z,14,53,100,21,7,2,heatmaps/heat2018-06-21T08:56:00Z.jpg
1,2018-06-21T08:57:00Z,39,152,108,93,39,10,heatmaps/heat2018-06-21T08:57:00Z.jpg
1,2018-06-21T08:58:00Z,132,228,85,221,343,92,heatmaps/heat2018-06-21T08:58:00Z.jpg
